REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A11,,0,0,0,MIN,0.92,1.3,5.9,71,1.7,5.5,217,52,57,10,64,55,,160,160,131,52,,,,0.1,"Corn, grain",0.8,120 - 160,0,40,0,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A12,,0,0,0,MIN,0.76,1.26,13.2,98,0.3,7.1,485,27,81,15,193,116,,1033,1033,374,83,,,,0.1,"Corn, grain",0,120 - 160,0,80,0,0,0,0,0,pH$,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A13,,0,0,0,MIN,0.86,1.29,13.5,97,0.4,7.2,519,25,81,15,183,109,,1081,1081,399,97,,,,0.1,"Corn, grain",0,120 - 160,0,90,0,0,0,0,0,pH$,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A14,,0,0,0,MIN,1.02,1.27,7.7,99,0.1,7.4,115,16,78,20,197,115,,145,145,71,67,,,,0.1,"Corn, grain",0,120 - 160,0,110,0,0,0,0,0,pH$,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A15,,0,0,0,MIN,1.08,1.27,3.8,46,2,4.9,49,40,34,8,109,82,,63,63,59,102,,,,0.1,"Corn, grain",1.3,120 - 160,30,60,25,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A16,,0,0,0,MIN,1.14,1.25,3.8,44,2.1,5.9,46,46,30,8,102,78,,58,58,60,100,,,,0.1,"Corn, grain",0.3,120 - 160,30,50,25,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A17,,0,0,0,MIN,1.31,1.32,4.8,69,1.5,5.9,62,30,51,15,159,112,,92,92,101,75,,,,0.1,"Corn, grain",0,120 - 160,0,80,0,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A18,,0,0,0,MIN,0.97,1.25,7.3,96,0.3,7.2,114,16,75,20,161,96,,132,132,67,60,,,,0.1,"Corn, grain",0,120 - 160,0,110,0,0,0,0,0,pH$,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A51,,0,0,0,MIN,0.81,1.19,7.4,85,1.1,6.2,61,36,66,17,99,74,,234,234,97,49,,,,0.1,"Corn, grain",0,120 - 160,10,70,0,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
SL003519,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,NCDA Caswell Research Farm,,Lenoir,A52,,0,0,0,MIN,0.81,1.18,7.2,84,1.1,6.2,61,34,66,16,90,69,,214,214,88,50,,,,0.1,"Corn, grain",0,120 - 160,10,70,0,0,0,0,0,0,,3,,,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,9/12/2017
