REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A01,,0,0,0,MIN,0.27,1.35,2.8,78,0.6,5.9,223,69,50,16,89,70,63,90,90,71,28,,,,0.1,Sweetpotato,0, 60-90,0,10,0,0,0,0,0.5,0,,6,"Vegetables, other",0, 80-100,0,70,0,0,0,0,0,,6,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A06,,0,0,0,MIN,0.32,1.37,3.1,83,0.5,6.2,283,62,55,19,100,74,67,132,132,138,26,,,,0.1,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,90,0,0,0,0,0,,6,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A10,,0,0,0,MIN,0.32,1.43,2.5,70,0.8,5.6,269,36,49,13,99,76,69,144,144,89,23,,,,0.1,"Corn, grain",0.3,120 - 160,0,70,0,25,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,150,0,0,0,0,0,,6,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A11,,0,0,0,MIN,0.18,1.34,1.8,71,0.5,5.8,150,41,45,15,54,49,42,98,98,70,18,,,,0.1,"Corn, grain",0,120 - 160,0,60,0,25,0,0,0,0,,3,"Vegetables, other",0, 80-100,0,130,0,0,0,0,0,,6,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A12,,3,2019,0.4,MIN,0.22,1.29,2.7,82,0.5,6.3,170,53,50,23,65,45,45,118,118,50,20,,,,0.1,"Vegetables, other",0, 80-100,0,110,0,20,0,0,0,0,,6,Soybean,0,0,0,40,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,B01,,0,0,0,MIN,0.22,1.39,2.2,71,0.6,5.6,160,30,46,17,61,47,47,128,128,70,19,,,,0.1,"Vegetables, other",0.3, 80-100,0,160,0,25,0,0,0,0,,6,Soybean,0,0,0,80,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,B02,,3,2019,0.3,MIN,0.18,1.4,2.1,79,0.4,6.1,113,45,46,23,58,44,44,69,69,86,24,,,,0.1,"Vegetables, other",0, 80-100,10,120,0,25,0,0,0,0,,6,Soybean,0,0,0,50,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,B03,,0,0,0,MIN,0.27,1.33,2.4,75,0.6,5.8,151,47,46,18,75,55,55,102,102,62,25,,,,0.1,"Vegetables, other",0, 80-100,0,120,0,25,0,0,0,0,,6,Soybean,0,0,0,50,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,B04,,3,2019,0.5,MIN,0.13,1.43,2.3,78,0.5,6,107,33,49,21,52,41,41,104,104,53,21,,,,0.1,"Vegetables, other",0, 80-100,20,150,0,25,0,0,0,0,,6,Soybean,0,0,0,70,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
SL017723,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,B05,,0,0,0,MIN,0.22,1.4,2.1,73,0.6,5.7,118,39,44,20,73,54,54,75,75,115,47,,,,0.1,"Vegetables, other",0.3, 80-100,0,140,0,0,0,0,0,0,,6,Soybean,0,0,0,60,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,12/16/2019
